ID,Full Name,Email,DOS Email,Role,DOS,VP,EVP,Theater,Division,District,Hire Date,Term Date,Enterprise Integrations: Positioning and Use Cases,Prospecting 101,ROI at Sprinklr,SSC Additions,Sprinklr Advertising Cloud: Messaging,Sprinklr Care Cloud: Messaging,Sprinklr Commerce Cloud: Messaging,Sprinklr Marketing Cloud: Messaging,Sprinklr Research Cloud: Messaging,Stories and Case Studies,Sum,isComplete
xA8jF,Maragaret Neely,Maragaret.Neely@gmail.com,Carina.Bresler@gmail.com,Rep,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,3/6/13,,1,1,0,0,0,0,0,0,0,0,2,0
xBzco,Chaya Mcpeek,Chaya.Mcpeek@gmail.com,Carina.Bresler@gmail.com,Rep,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,1/16/17,,0,1,1,1,0,0,1,0,0,0,4,0
xVgoA,Yoshiko Bustillos,Yoshiko.Bustillos@gmail.com,Carina.Bresler@gmail.com,Rep,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,7/10/17,,0,1,0,0,0,0,1,1,0,0,3,0
xNJ1H,Freddy Fay,Freddy.Fay@gmail.com,Xuan.Fedor@gmail.com,Rep,Xuan Fedor,Janiya Decker,Gavin Hairston,Americas,LATAM,Brazil,7/1/16,,1,0,0,0,0,1,0,1,0,1,4,0
xJSYv,Aleta Courville,Aleta.Courville@gmail.com,Xuan.Fedor@gmail.com,Rep,Xuan Fedor,Janiya Decker,Gavin Hairston,Americas,LATAM,Brazil,7/1/16,,1,1,1,0,0,1,0,1,1,1,7,0
xlA7d,Herb Fredrickson,Herb.Fredrickson@gmail.com,Xuan.Fedor@gmail.com,Rep,Xuan Fedor,Janiya Decker,Gavin Hairston,Americas,LATAM,Brazil,9/5/16,,1,1,1,1,0,0,0,1,0,1,6,0
xpYlA,Telma Coil,Telma.Coil@gmail.com,Lee.Mckiernan@gmail.com,Rep,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,10/6/14,,0,0,0,0,1,1,0,0,1,0,3,0
xGwYE,Garfield Fichter,Garfield.Fichter@gmail.com,Lee.Mckiernan@gmail.com,Rep,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,12/5/16,,1,0,1,0,0,0,0,0,1,0,3,0
xGQbt,Anamaria Harting,Anamaria.Harting@gmail.com,Lee.Mckiernan@gmail.com,Rep,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,2/8/16,,0,1,0,0,1,1,0,1,1,0,5,0
xJBVp,Aundrea Barks,Aundrea.Barks@gmail.com,Lee.Mckiernan@gmail.com,Rep,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,3/6/17,,0,1,1,0,0,0,0,0,1,1,4,0
xIjUB,Ernestina Sabir,Ernestina.Sabir@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,11/4/13,,0,1,0,0,0,0,0,0,0,0,1,0
xHgpn,Luciano Lieb,Luciano.Lieb@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,1/16/17,,1,0,1,1,0,1,0,0,1,1,6,0
xYEv7,Hugo Hammonds,Hugo.Hammonds@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,3/6/17,,1,1,0,1,1,1,1,0,0,0,6,0
xCTzi,Michell Applebaum,Michell.Applebaum@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,3/6/17,,0,1,1,0,1,1,1,0,0,0,5,0
xlhsT,Sage Wronski,Sage.Wronski@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,1/16/17,,0,1,1,0,1,1,0,1,0,1,6,0
xJav5,Cheryl Bizier,Cheryl.Bizier@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,4/13/15,,1,0,1,0,0,1,0,1,1,1,6,0
xGQbu,Lenore Marshal,Lenore.Marshal@gmail.com,Anisa.Topete@gmail.com,Rep,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,7/2/15,,1,0,0,1,0,0,1,1,1,0,5,0
xryr6,Daine Watanabe,Daine.Watanabe@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,2/21/17,,1,0,1,0,1,0,1,0,0,0,4,0
xqndF,Merlyn Haun,Merlyn.Haun@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,5/1/17,,1,0,1,1,0,0,1,1,0,1,6,0
xFHoI,Marilee Parman,Marilee.Parman@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,12/5/16,,1,0,0,0,1,1,0,1,1,0,5,0
xzTRg,Mei Simien,Mei.Simien@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,12/5/16,,0,1,0,1,1,1,0,1,1,1,7,0
x6Nau,Pamula Brittingham,Pamula.Brittingham@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,1/23/17,,0,0,1,1,1,1,0,1,1,0,6,0
xHKeG,Sonja Inniss,Sonja.Inniss@gmail.com,Sergio.Naval@gmail.com,Rep,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,7/1/17,,0,1,0,0,0,1,0,0,1,1,4,0
xN8UO,Serina Boos,Serina.Boos@gmail.com,Herminia.Motto@gmail.com,Rep,Herminia Motto,Frankie Cregan,Gavin Hairston,Americas,West,Mountain,1/24/17,,0,1,1,1,1,0,1,1,1,0,7,0
xjPwU,Marleen Roses,Marleen.Roses@gmail.com,Herminia.Motto@gmail.com,Rep,Herminia Motto,Frankie Cregan,Gavin Hairston,Americas,West,Mountain,3/21/17,,1,0,1,1,0,1,0,0,0,0,4,0
xX4K4,Georgette Goguen,Georgette.Goguen@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,NorCal,9/10/12,,0,1,1,1,1,0,1,0,0,0,5,0
xzD12,Quinn Kuzma,Quinn.Kuzma@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,NorCal,7/6/15,,0,1,0,1,1,0,0,0,0,0,3,0
xOLBE,Jestine Oconner,Jestine.Oconner@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,NorCal,12/20/16,,1,0,1,1,0,0,0,0,0,0,3,0
xpPOm,Kendall Gaunt,Kendall.Gaunt@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,1/23/17,,0,0,0,0,1,0,1,1,1,0,4,0
xBxO5,Marietta Damico,Marietta.Damico@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,1/23/17,,1,0,0,1,0,1,1,1,1,0,6,0
xZHwy,America Weston,America.Weston@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,3/6/17,,1,0,0,0,1,0,0,0,1,1,4,0
xs2sy,August Rickerson,August.Rickerson@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,8/23/16,,1,0,1,0,0,0,0,0,0,1,3,0
xrN0M,Jules Debolt,Jules.Debolt@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,3/6/17,,1,0,1,0,0,1,0,1,0,1,5,0
xxPmV,Rhoda Meeker,Rhoda.Meeker@gmail.com,Pamela.Schantz@gmail.com,Rep,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,3/6/17,,1,0,1,1,0,1,1,0,1,1,7,0
xbitk,Erna Pettry,Erna.Pettry@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,12/15/15,,0,1,0,1,1,0,1,0,1,0,5,0
x450m,Melissia Pruett,Melissia.Pruett@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,4/11/16,,0,1,0,1,1,0,1,1,1,1,7,0
xK44o,Dayle Bettis,Dayle.Bettis@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,10/3/16,,1,1,0,1,1,0,1,0,0,1,6,0
xYs9K,Gilda Scheel,Gilda.Scheel@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,1/24/17,,1,0,1,0,0,1,0,0,0,0,3,0
xLvdq,Barabara Garon,Barabara.Garon@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,7/10/17,,0,1,1,0,0,1,1,1,1,0,6,0
xxBlu,Rueben Silvis,Rueben.Silvis@gmail.com,Leonel.Capehart@gmail.com,Rep,Leonel Capehart,Maire Dehn,Synthia Hulett,APAC,Australia,Australia,1/16/17,,0,0,1,1,1,1,1,1,0,0,6,0
xVy9t,Luis Alexandria,Luis.Alexandria@gmail.com,Leonel.Capehart@gmail.com,Rep,Leonel Capehart,Maire Dehn,Synthia Hulett,APAC,Australia,Australia,1/16/17,,1,1,0,1,0,1,0,0,0,1,5,0
xgceP,Edgar Kovac,Edgar.Kovac@gmail.com,Jerrod.Overson@gmail.com,Rep,Jerrod Overson,Maire Dehn,Synthia Hulett,APAC,Singapore,Singapore,1/16/17,,1,1,0,0,0,0,1,0,0,1,4,0
xUcX3,Magnolia Horman,Magnolia.Horman@gmail.com,Melany.Edwards@gmail.com,Rep,Melany Edwards,Alex Kemp,Elyse Avila,Europe,Central Europe,NE_3,1/1/17,,0,1,0,1,1,0,0,1,1,0,5,0
xJkz3,Crystle Blackledge,Crystle.Blackledge@gmail.com,Melany.Edwards@gmail.com,Rep,Melany Edwards,Alex Kemp,Elyse Avila,Europe,Central Europe,NE_3,4/4/16,,0,0,0,1,0,1,1,0,0,1,4,0
x6paw,Shalanda Chipley,Shalanda.Chipley@gmail.com,Melany.Edwards@gmail.com,Rep,Melany Edwards,Alex Kemp,Elyse Avila,Europe,Central Europe,NE_3,11/7/16,,1,1,1,1,0,0,1,0,0,0,5,0
xXhTl,Savanna Seekins,Savanna.Seekins@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,2/27/16,,0,1,1,0,0,0,1,0,1,1,5,0
xbOWB,Joey Roe,Joey.Roe@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,4/11/15,,1,1,1,1,0,1,1,1,1,1,9,0
xA5ig,Blaine Knotts,Blaine.Knotts@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,12/5/16,,0,0,1,0,1,1,0,1,1,0,5,0
xk0Vr,Ardelia Deveaux,Ardelia.Deveaux@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,10/17/16,,0,1,1,0,0,0,1,1,0,0,4,0
x3jtO,Anika Ange,Anika.Ange@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,1/23/17,,1,1,1,0,1,0,1,0,0,0,5,0
x2jhL,Amiee Tramble,Amiee.Tramble@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,7/24/17,,1,0,1,0,0,0,0,0,1,1,4,0
xgSRe,Melany Stafford,Melany.Stafford@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,3/1/17,,0,1,0,0,1,1,1,1,0,1,6,0
xSr4m,Rocco Mclean,Rocco.Mclean@gmail.com,Izabella.Haney@gmail.com,Rep,Izabella Haney,Alex Kemp,Elyse Avila,Europe,North Europe,NE_2,7/24/17,,0,1,1,1,0,0,1,0,1,1,6,0
xwg34,Vesta Shouse,Vesta.Shouse@gmail.com,Izabella.Haney@gmail.com,Rep,Izabella Haney,Alex Kemp,Elyse Avila,Europe,North Europe,NE_2,5/5/15,,0,0,0,1,0,1,1,0,1,1,5,0
xQH0U,Janey Googe,Janey.Googe@gmail.com,Izabella.Haney@gmail.com,Rep,Izabella Haney,Alex Kemp,Elyse Avila,Europe,North Europe,NE_2,8/1/16,,0,1,0,0,1,1,1,1,0,0,5,0
xciIe,Camellia Douville,Camellia.Douville@gmail.com,Izabella.Haney@gmail.com,Rep,Izabella Haney,Alex Kemp,Elyse Avila,Europe,North Europe,NE_2,3/6/17,,1,1,0,1,1,1,1,1,1,0,8,0
xQkOj,Jeanene Wafer,Jeanene.Wafer@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,3/7/16,,0,1,0,1,1,1,1,1,0,1,7,0
xmRC1,Sabine Burgdorf,Sabine.Burgdorf@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,1/11/16,,0,0,0,1,0,1,0,0,0,1,3,0
x0fvn,Jaimee Walter,Jaimee.Walter@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,1/1/17,,0,1,1,1,1,0,0,0,0,1,5,0
xHBI2,Reginia Woodmansee,Reginia.Woodmansee@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,10/3/16,,0,0,0,1,1,1,1,0,0,1,5,0
x9nzK,Jacklyn Bator,Jacklyn.Bator@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,10/3/16,,0,0,1,1,0,0,0,1,0,0,3,0
x6XTn,Candra Hopps,Candra.Hopps@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,5/3/17,,1,1,1,0,0,1,0,0,1,1,6,0
xqnPz,Autumn Michaelis,Autumn.Michaelis@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,6/22/15,,1,0,0,1,1,0,1,1,0,0,5,0
xuXIU,Delmer Trentham,Delmer.Trentham@gmail.com,Kendall.Weaver@gmail.com,Rep,Kendall Weaver,William Dickson,Elyse Avila,Europe,South Europe,Switzerland,5/1/17,,1,0,0,0,0,0,0,1,1,1,4,0
xGI4n,Nana Stotts,Nana.Stotts@gmail.com,Kendall.Weaver@gmail.com,Rep,Kendall Weaver,William Dickson,Elyse Avila,Europe,South Europe,Switzerland,5/1/17,,1,0,1,1,1,0,1,1,0,0,6,0
x3bvT,Caridad Longshore,Caridad.Longshore@gmail.com,Kendall.Weaver@gmail.com,Rep,Kendall Weaver,William Dickson,Elyse Avila,Europe,South Europe,Switzerland,5/1/17,,0,1,0,0,1,0,0,1,0,1,4,0
xjBNN,Tawna Liu,Tawna.Liu@gmail.com,Aslam.elIshmael@gmail.com,Rep,Aslam el-Ishmael,Mutammam al-Atallah,Pranav Gupta,MEA,Middle East,Middle East,7/11/16,,0,1,0,0,1,0,0,0,1,1,4,0
x3AGP,Tenesha Recore,Tenesha.Recore@gmail.com,Ranjit.Sardar@gmail.com,Rep,Ranjit Sardar,Sahadeva Nandi,Pranav Gupta,MEA,India,India,5/16/17,,0,0,1,0,0,0,1,0,0,1,3,0
xQeYI,Tyisha Su,Tyisha.Su@gmail.com,Gayle.Eves@gmail.com,DOS,Gayle Eves,Sondra Cowans,Gavin Hairston,Americas,Central,Chicago,9/29/16,,1,1,0,0,1,1,0,0,0,1,5,0
xXFbB,Rosalba Coupe,Rosalba.Coupe@gmail.com,Demetrius.Simmers@gmail.com,DOS,Demetrius Simmers,Sondra Cowans,Gavin Hairston,Americas,Central,North Central,12/5/16,,1,0,1,1,1,1,0,1,0,1,7,0
xFdPH,Bonnie Loder,Bonnie.Loder@gmail.com,Lance.Gremillion@gmail.com,DOS,Lance Gremillion,Sondra Cowans,Gavin Hairston,Americas,Central,Great Lakes,1/12/17,,0,0,1,0,0,0,0,0,1,1,3,0
xBtOh,Lena Montesino,Lena.Montesino@gmail.com,Lee.Mckiernan@gmail.com,DOS,Lee Mckiernan,Synthia Hulett,Gavin Hairston,Americas,South,Mid-Atlantic,12/5/16,,0,1,0,1,0,1,1,0,0,1,5,0
xdv6b,Danille Sirianni,Danille.Sirianni@gmail.com,Donn.Plaster@gmail.com,DOS,Donn Plaster,Norah Elsey,Gavin Hairston,Americas,East,Northeast,7/1/17,,0,0,0,0,0,0,0,0,0,0,0,0
xoETl,Estelle Grumbles,Estelle.Grumbles@gmail.com,Augustine.Taft@gmail.com,DOS,Augustine Taft,Norah Elsey,Gavin Hairston,Americas,East,NYC_1,10/3/16,,1,1,1,1,1,1,1,1,0,0,8,0
xB0sV,Danielle Scroggs,Danielle.Scroggs@gmail.com,Carina.Bresler@gmail.com,DOS,Carina Bresler,Norah Elsey,Gavin Hairston,Americas,East,NYC_2,5/11/15,,1,1,1,0,1,1,1,1,1,1,9,0
xWqs2,Nicolette Funderburke,Nicolette.Funderburke@gmail.com,Anisa.Topete@gmail.com,DOS,Anisa Topete,Synthia Hulett,Gavin Hairston,Americas,South,Southeast,3/6/13,,0,0,1,0,0,0,1,0,0,1,3,0
xPcuJ,Loma Watkin,Loma.Watkin@gmail.com,Sergio.Naval@gmail.com,DOS,Sergio Naval,Synthia Hulett,Gavin Hairston,Americas,South,TOLA,1/16/17,,0,1,0,1,0,0,1,1,1,1,6,0
xKcNC,Maragaret Cooney,Maragaret.Cooney@gmail.com,Herminia.Motto@gmail.com,DOS,Herminia Motto,Frankie Cregan,Gavin Hairston,Americas,West,Mountain,7/10/17,,1,1,1,1,1,0,0,1,0,1,7,0
xtk5n,Willia Alberty,Willia.Alberty@gmail.com,Pamela.Schantz@gmail.com,DOS,Pamela Schantz,Frankie Cregan,Gavin Hairston,Americas,West,Norcal,7/1/16,,0,0,1,1,0,0,0,1,0,1,4,0
xPhpT,Colene Merriman,Colene.Merriman@gmail.com,Mitchell.Gierlach@gmail.com,Rep,Mitchell Gierlach,Frankie Cregan,Gavin Hairston,Americas,West,SoCal,7/1/16,,1,0,0,1,1,1,1,1,0,1,7,0
xi1Gz,Ai Grajales,Ai.Grajales@gmail.com,Xuan.Fedor@gmail.com,DOS,Xuan Fedor,Janiya Decker,Gavin Hairston,Americas,LATAM,Brazil,9/5/16,,1,0,0,1,0,1,0,1,1,1,6,0
xxdWj,Bernita Penhollow,Bernita.Penhollow@gmail.com,April.Rich@gmail.com,Rep,April Rich,Alex Kemp,Elyse Avila,Europe,North Europe,NE_1,10/6/14,,1,0,1,1,0,1,0,0,1,1,6,0
xPy9O,Rudy Nauman,Rudy.Nauman@gmail.com,Izabella.Haney@gmail.com,Rep,Izabella Haney,Alex Kemp,Elyse Avila,Europe,North Europe,NE_2,12/5/16,,0,1,1,0,1,1,0,0,0,0,4,0
xsA5k,Georgann Mangini,Georgann.Mangini@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,2/8/16,,1,1,0,0,1,1,0,1,1,0,6,0
xOR4q,Valeri Aucoin,Valeri.Aucoin@gmail.com,Alexis.Eye@gmail.com,Rep,Alexis Eye,Alex Kemp,Elyse Avila,Europe,North Europe,Netherlands,3/6/17,,0,0,0,0,0,0,0,0,0,0,0,0
x47FZ,Lasonya Geist,Lasonya.Geist@gmail.com,Ranjit.Sardar@gmail.com,Rep,Ranjit Sardar,Sahadeva Nandi,Pranav Gupta,MEA,India,India,11/4/13,,1,0,0,0,1,0,1,1,0,1,5,0
